id,dataset_id,description,description_chinese,translation_status,translation_error
12,aeso_solar_forecast_7_day,"This dataset contains AESO’s forecasted solar generation for the next 7 days, calculated every hour. AESO calculates three generation forecasts: minimum, most likely, and maximum. Additionally, AESO calculates a percentage of generation compared to the current installed capacity for each forecast range. ","该数据集包含AESO（阿尔伯塔省电力系统运营商）未来7天的太阳能发电预测，每小时计算一次。
AESO提供三种发电预测情景：最小值、最可能值、最大值。
此外，针对每种预测区间，AESO还计算了发电量相对于当前已安装容量的百分比。",done,
13,aeso_solar_hourly,AESO's actual solar generation at an hourly frequency. ,AESO（阿尔伯塔省电力系统运营商）以小时为频率记录的实际太阳能发电数据。,done,
14,aeso_supply_and_demand,"Supply and demand information in AESO, sampled every 1-2 minutes. ",AESO（阿尔伯塔省电力系统运营商）的供需信息，采样频率为每1-2分钟一次。,done,
15,aeso_system_marginal_price,This dataset contains the system marginal price (SMP) across AESO. The SMP is calculated each minute based off of the cost of the next MW dispatched to meet an additional MW of load. ,"该数据集包含AESO（阿尔伯塔省电力系统运营商）的系统边际价格（SMP）。
SMP基于为满足额外1兆瓦负荷需求而调度的下一兆瓦发电成本，每分钟计算一次。",done,
16,aeso_transmission_outages,"This dataset contains information on transmission outages across IESO. Contained in this data are transmission owners, scheduled activity, and estimated length of outages.","该数据集包含IESO（安大略省独立电力系统运营商）范围内的输电停运信息。
数据内容包括：输电所有者、计划活动以及预计停运时长。",done,
17,aeso_unit_status,"Unit-level status reports in AESO. AESO reports out the maximum capacity (MC), Total Net Generation (TNG), Gross Generation minus Asset service, and Dispatched (and Accepted) Contingency Reserve (DCR). This data is sampled every 1-2 minutes.   ","AESO（阿尔伯塔省电力系统运营商）内的机组级状态报告。
AESO报告的指标包括：最大容量（MC）、总净发电量（TNG，即总发电量减去厂用电）、以及已调度（并已接受）的事故备用（DCR）。
该数据采样频率为每1-2分钟一次。",done,
18,aeso_wind_10_min,AESO's actual wind generation at 10 minute frequency. ,AESO（阿尔伯塔省电力系统运营商）以10分钟为频率记录的实际风电发电数据。,done,
19,aeso_wind_forecast_12_hour,"This dataset contains AESO’s forecasted wind generation for the next 12 hours, calculated every 10 minutes. AESO calculates three generation forecasts: minimum, most likely, and maximum. Additionally, AESO calculates a percentage of generation compared to the current installed capacity for each forecast range. ","该数据集包含AESO（阿尔伯塔省电力系统运营商）未来12小时的风电发电预测，每10分钟计算一次。
AESO提供三种发电预测情景：最小值、最可能值、最大值。
此外，针对每种预测区间，AESO还计算了发电量相对于当前已安装容量的百分比。",done,
20,aeso_wind_forecast_7_day,"This dataset contains AESO’s forecasted wind generation for the next 7 days, calculated every hour. AESO calculates three generation forecasts: minimum, most likely, and maximum. Additionally, AESO calculates a percentage of generation compared to installed capacity for each forecast range. ","该数据集包含AESO（阿尔伯塔省电力系统运营商）未来7天的风电发电预测，每小时计算一次。
AESO提供三种发电预测情景：最小值、最可能值、最大值。
此外，针对每种预测区间，AESO还计算了发电量相对于已安装容量的百分比。",done,
21,aeso_wind_hourly,AESO's actual wind generation at an hourly frequency. ,AESO（阿尔伯塔省电力系统运营商）以小时为频率记录的实际风电发电数据。,done,
24,caiso_as_prices,"Ancillary Services Prices as reported by CAISO. Not all regions report prices for each hour, day, or even year. 

AS_CAISO, AS_CAISO_EXP, AS_NP26, AS_NP26_EXP, AS_SP26, and AS_SP26_EXP have consistent data throughout the series. AS_SP15 and AS_NP15 are nested within other zones and record prices very infrequently.

**AS Mapping**

The *_EXP show only the intertie resources.
 
-    AS_SP26_P: Resources in AS_SP26
-    AS_NP26_P: Resources in AS_NP26
-    AS_SP15_P: Resources in AS_SP15
-    AS_NP15_P: Resources in AS_NP15
-    AS_SP26_EXP_P: Resources in AS_SP26_EXP which are not in AS_SP26
-    AS_NP26_EXP_P: Resources in AS_NP26_EXP which are not in AS_NP26
-    AS_SP15_EXP_P: Resources in AS_SP15_EXP which are not in AS_SP15
-    AS_NP15_EXP_P: Resources in AS_NP15_EXP which are not in AS_NP15
-    AS_CAISO_NP26_P: Resources in AS_CAISO which are not in AS_SP26
-    AS_CAISO_SP26_P: Resources in AS_CAISO which are not in AS_NP26
-    AS_CAISO_NP15_P: Resources in AS_CAISO which are not in AS_SP15
-    AS_CAISO_SP15_P: Resources in AS_CAISO which are not in AS_NP15","CAISO（加州独立系统运营商）报告的辅助服务价格。并非所有区域在每个小时、每天甚至每年都有价格报告。

在系列数据中，AS_CAISO、AS_CAISO_EXP、AS_NP26、AS_NP26_EXP、AS_SP26和AS_SP26_EXP均保持一致的数据。AS_SP15和AS_NP15嵌套在其他区域内，记录价格的频率非常低。

AS映射说明

带 *_EXP 后缀的项仅显示联络线资源。

- AS_SP26_P：AS_SP26区域内的资源
- AS_NP26_P：AS_NP26区域内的资源
- AS_SP15_P：AS_SP15区域内的资源
- AS_NP15_P：AS_NP15区域内的资源
- AS_SP26_EXP_P：属于AS_SP26_EXP但不属于AS_SP26的资源
- AS_NP26_EXP_P：属于AS_NP26_EXP但不属于AS_NP26的资源
- AS_SP15_EXP_P：属于AS_SP15_EXP但不属于AS_SP15的资源
- AS_NP15_EXP_P：属于AS_NP15_EXP但不属于AS_NP15的资源
- AS_CAISO_NP26_P：属于AS_CAISO但不属于AS_SP26的资源
- AS_CAISO_SP26_P：属于AS_CAISO但不属于AS_NP26的资源
- AS_CAISO_NP15_P：属于AS_CAISO但不属于AS_SP15的资源
- AS_CAISO_SP15_P：属于AS_CAISO但不属于AS_NP15的资源",done,
25,caiso_as_procurement_dam,"Ancillary services procurement data from CAISO.
Includes total MW procured and costs.  Corresponds
to CAISO AS_RESULTS dataset on OASIS. See caiso_as_prices dataset
for per MW prices that result from market run.","来自CAISO（加州独立系统运营商）的辅助服务采购数据。
包含采购的总兆瓦数及成本。该数据对应于OASIS平台上的CAISO AS_RESULTS数据集。
关于市场运行产生的每兆瓦价格，请参阅caiso_as_prices数据集。",done,
26,caiso_branch_shadow_prices_dam_hourly,"Hourly day-ahead constraint pricing in CAISO at each Nomogram and Branch. 

CAISO uses Nomograms to: “define a constraint relationship between two power system MW variables.”  See section 3.1.7 of the Market+Operations Business Practice Manual for more information on CAISO’s use of Nomograms. ","CAISO（加州独立系统运营商）内每个列线图和支路的日前小时级约束电价。

CAISO使用列线图来“定义两个电力系统兆瓦变量之间的约束关系”。有关CAISO使用列线图的更多信息，请参阅《市场+运营业务实践手册》第3.1.7节。",done,
27,caiso_branch_shadow_prices_hasp_hourly,"Constraint pricing in CAISO at each Nomogram and Branch from the hour-ahead scheduling process. 

CAISO uses Nomograms to: “define a constraint relationship between two power system MW variables.”  See section 3.1.7 of the Market+Operations Business Practice Manual for more information on CAISO’s use of Nomograms. ","CAISO（加州独立系统运营商）内每个列线图和支路在小时前调度过程中产生的约束电价。

CAISO使用列线图来“定义两个电力系统兆瓦变量之间的约束关系”。有关CAISO使用列线图的更多信息，请参阅《市场+运营业务实践手册》第3.1.7节。",done,
28,caiso_branch_shadow_prices_rtm_5_min,"Five-minute real-time constraint pricing in CAISO at each Nomogram and Branch. 

CAISO uses Nomograms to: “define a constraint relationship between two power system MW variables.”  See section 3.1.7 of the Market+Operations Business Practice Manual for more information on CAISO’s use of Nomograms. ","CAISO（加州独立系统运营商）内每个列线图和支路的五分钟实时约束电价。

CAISO使用列线图来“定义两个电力系统兆瓦变量之间的约束关系”。有关CAISO使用列线图的更多信息，请参阅《市场+运营业务实践手册》第3.1.7节。",done,
29,caiso_branch_shadow_prices_rtpd_15_min,"Fifteen-minute real-time pre-dispatch constraint pricing in CAISO at each Nomogram and Branch. 

CAISO uses Nomograms to: “define a constraint relationship between two power system MW variables.”  See section 3.1.7 of the Market+Operations Business Practice Manual for more information on CAISO’s use of Nomograms. ","CAISO（加州独立系统运营商）内每个列线图和支路的十五分钟实时预调度约束电价。

CAISO使用列线图来“定义两个电力系统兆瓦变量之间的约束关系”。有关CAISO使用列线图的更多信息，请参阅《市场+运营业务实践手册》第3.1.7节。",done,
30,caiso_curtailed_non_operational_generator_report,"Prior Day Curtailed Non-Operational Generator Report as reported by CAISO.

Glossary: https://www.caiso.com/glossary","CAISO（加州独立系统运营商）报告的“前日削减的非运行发电机报告”。

术语表：https://www.caiso.com/glossary",done,
31,caiso_curtailment,"Daily Curtailment data as reported by CAISO.

Note: CAISO did not publish curtailment reports for 2024-07-26 and 2024-07-27.","CAISO（加州独立系统运营商）报告的每日弃电（削减）数据。

注意：CAISO未发布2024年7月26日和2024年7月27日的弃电报告。",done,
32,caiso_curtailment_aggregated_hourly,"CAISO curtailment aggregated by wind and solar on an hourly basis. For more granular data, on curtailment type and reason, see the caiso_curtailment dataset.",CAISO（加州独立系统运营商）按风电和太阳能聚合的小时级弃电（削减）数据。如需按弃电类型和原因查看更细粒度的数据，请参阅caiso_curtailment数据集。,done,
33,caiso_edam_wind_solar_forecast,"Day-ahead, hourly, wind and solar forecasts for balancing areas participating in the extended day-ahead market (EDAM).

Published once per day.","针对参与扩展日前市场（EDAM）的平衡区域提供的日前、小时级风电和太阳能预测。
每日发布一次。",done,
34,caiso_fuel_mix,"Fuel Mix in 5 minute intervals as reported by CAISO.

⚠️ For this data, CAISO reports only 24 hours even on DST days when 25 are reported elsewhere.","CAISO（加州独立系统运营商）报告的5分钟间隔燃料结构数据。

⚠️ 对于此数据，即使在夏令时（DST）当天其他数据源报告了25小时，CAISO也仅报告24小时。",done,
35,caiso_fuel_prices,Hourly natural fuel prices in $/MMBtu by fuel region.,按燃料区域划分的小时级天然气燃料价格，单位为美元/百万英热单位（$/MMBtu）。,done,
36,caiso_fuel_prices_and_descriptions,"Fuel prices as reported by CAISO with detailed names and descriptions where available.

For the raw fuel price data, see [CAISO Fuel Prices](https://www.gridstatus.io/datasets/caiso_fuel_prices).","CAISO（加州独立系统运营商）报告的燃料价格，附带详细名称和描述（如有）。

如需原始燃料价格数据，请参阅 CAISO燃料价格数据集。",done,
37,caiso_fuel_regions,"List of ISO fuel regions and electric regions with IDs, names, and descriptions.",ISO（独立系统运营商）燃料区域和电力区域的列表，包含ID、名称和描述。,done,
38,caiso_intertie_constraint_shadow_prices_real_time_5_min,"Five-minute constraint pricing in CAISO at both transmission interfaces and intertie constraints.
",CAISO（加州独立系统运营商）内输电接口和联络线约束的五分钟约束电价。,done,
39,caiso_ir_rc_prices,"Day-ahead prices for Imbalance Reserves and Reliability Capacity in CAISO. The Marginal Clearing Price for Reliability Capacity is comprised of Capacity Price, Congestion Price, and Loss Price, while Imbalance Reserves only have Capacity and Congestion components.

  • IRU: Imbalance Reserves Up

  • IRD: Imbalance Reserves Down

  • RCD: Reliability Capacity Down 

  • RCU: Reliability Capacity Up","CAISO（加州独立系统运营商）中不平衡备用和可靠性容量的日前价格。可靠性容量的边际出清价格由容量价格、阻塞价格和损耗价格组成，而不平衡备用仅包含容量和阻塞两个组成部分。

 • IRU：上调不平衡备用
 • IRD：下调不平衡备用
 • RCD：下调可靠性容量
 • RCU：上调可靠性容量",done,
40,caiso_lmp_dart_15_min,DART spread in CAISO between day-ahead hourly LMPs and real-time 15-minute LMPs. Hourly day-ahead values are brought to a 15-minute interval across the hour for the purposes of this dataset.,"CAISO（加州独立系统运营商）中日前小时级LMP（节点边际电价）与实时15分钟LMP之间的DART（日前与实时价差）价差。
在本数据集中，小时日前电价数值在该小时内被转换为15分钟间隔数据。",done,
41,caiso_lmp_dart_5_min,DART spread in CAISO between day-ahead hourly LMPs and real-time 5-minute LMPs. Hourly day-ahead values are brought to a five-minute interval across the hour for the purposes of this dataset.,"CAISO（加州独立系统运营商）中日前小时级LMP（节点边际电价）与实时5分钟LMP之间的DART（日前与实时价差）价差。
在本数据集中，小时日前电价数值在该小时内被转换为5分钟间隔数据。",done,
42,caiso_lmp_day_ahead_hourly,"Day-ahead hourly locational marginal prices (LMPs) for locations administered by CAISO internally as well as certain external points for which CAISO calculates day-ahead prices. Inclues AP Nodes, Trading Hubs, and Nodes.","由CAISO（加州独立系统运营商）内部管理的节点以及CAISO为其计算日前价格的部分外部节点的日前小时级节点边际电价（LMP）。
包含AP节点、交易枢纽和单个节点。",done,
43,caiso_lmp_hasp_15_min,"15-minute Locational Marginal Prices in $/MWh, for the HASP hour. Posts the LMP, plus the Congestion, Loss and Energy Components that make up the LMP. Posts the HASP Binding LMP for PNodes and APNodes relevant to Hourly Pre-Dispatched Resources. Posts the HASP Advisory LMP for PNodes and APNodes relevant to the Non-Hourly Pre-Dispatch Resources.","小时前调度时段（HASP）的15分钟节点边际电价（LMP），单位为美元/兆瓦时。
数据包含LMP及其构成部分：阻塞分量、损耗分量和能量分量。
发布与小时级预调度资源相关的PNode（物理节点）和APNode（聚合节点）的HASP约束性LMP。
发布与非小时级预调度资源相关的PNode和APNode的HASP参考性LMP。",done,
44,caiso_lmp_real_time_15_min,"Real-time 15-minute locational marginal prices (LMPs) for locations administered by CAISO internally as well as through the WEIM. Inclues AP Nodes, Trading Hubs, and Nodes.","针对CAISO（加州独立系统运营商）内部管理以及通过西部能源不平衡市场（WEIM）管理的节点的实时15分钟节点边际电价（LMP）。
包含AP节点、交易枢纽和单个节点。",done,
45,caiso_lmp_real_time_5_min,"Real-time 5-minute locational marginal prices (LMPs) for locations administered by CAISO internally as well as through the WEIM. Inclues AP Nodes, Trading Hubs, and Nodes.","针对CAISO（加州独立系统运营商）内部管理以及通过西部能源不平衡市场（WEIM）管理的节点的实时5分钟节点边际电价（LMP）。
包含AP节点、交易枢纽和单个节点。",done,
46,caiso_lmp_scheduling_point_tie_dart_15_min,DART spread in CAISO between day-ahead hourly LMPs and real-time 15-minute LMPs for scheduling point tie locations. Hourly day-ahead values are brought to a 15-minute interval across the hour for the purposes of this dataset.,"CAISO（加州独立系统运营商）中调度点联络线位置的日前小时级LMP（节点边际电价）与实时15分钟LMP之间的DART（日前与实时价差）价差。
在本数据集中，小时日前电价数值在该小时内被转换为15分钟间隔数据。",done,
47,caiso_lmp_scheduling_point_tie_dart_5_min,DART spread in CAISO between day-ahead hourly LMPs and real-time 5-minute LMPs for scheduling point tie locations. Hourly day-ahead values are brought to a 5-minute interval across the hour for the purposes of this dataset.,"CAISO（加州独立系统运营商）中调度点联络线位置的日前小时级LMP（节点边际电价）与实时5分钟LMP之间的DART（日前与实时价差）价差。
在本数据集中，小时日前电价数值在该小时内被转换为5分钟间隔数据。",done,
48,caiso_lmp_scheduling_point_tie_day_ahead_hourly,"Hourly LMPs for Scheduling Point (SP) - Intertie (Tie) combinations. Interchange schedules are settled at the relevant SP-Tie combination. Both the SP and the Tie are declared by a scheduling coordinator when submitting a bid, while for registered system resources, the SP is their PNode/APNode, and the Tie is the registered primary intertie. ","调度点（SP）与联络线（Tie）组合的小时级节点边际电价（LMP）。
电量交换计划按相应的SP-Tie组合进行结算。
在提交报价时，调度协调员需同时声明SP和Tie；而对于已注册的系统资源，其SP即为自身的PNode（物理节点）/APNode（聚合节点），Tie则为已注册的主联络线。",done,
49,caiso_lmp_scheduling_point_tie_real_time_15_min,"Fifteen-minute LMPs for Scheduling Point (SP) - Intertie (Tie) combinations. Interchange schedules are settled at the relevant SP-Tie combination. Both the SP and the Tie are declared by a scheduling coordinator when submitting a bid, while for registered system resources, the SP is their PNode/APNode, and the Tie is the registered primary intertie. ","调度点（SP）与联络线（Tie）组合的十五分钟节点边际电价（LMP）。
电量交换计划按相应的SP-Tie组合进行结算。
在提交报价时，调度协调员需同时声明SP和Tie；而对于已注册的系统资源，其SP即为自身的PNode（物理节点）/APNode（聚合节点），Tie则为已注册的主联络线。",done,
50,caiso_lmp_scheduling_point_tie_real_time_5_min,"Five-minute LMPs for Scheduling Point (SP) - Intertie (Tie) combinations. Interchange schedules are settled at the relevant SP-Tie combination. Both the SP and the Tie are declared by a scheduling coordinator when submitting a bid, while for registered system resources, the SP is their PNode/APNode, and the Tie is the registered primary intertie. 

The data is known to contain gaps originating in the CAISO Source.","调度点（SP）与联络线（Tie）组合的五分钟节点边际电价（LMP）。
电量交换计划按相应的SP-Tie组合进行结算。
在提交报价时，调度协调员需同时声明SP和Tie；而对于已注册的系统资源，其SP即为自身的PNode（物理节点）/APNode（聚合节点），Tie则为已注册的主联络线。

已知该数据存在源自CAISO数据源的缺失情况。",done,
51,caiso_load,Load in 5 minute intervals as reported by CAISO. Does not include load from storage charging.,"CAISO（加州独立系统运营商）报告的5分钟间隔负荷数据。
不包括储能充电产生的负荷。",done,
52,caiso_load_forecast,Load Forecast resampled to 5 minute intervals,重采样至5分钟间隔的负荷预测数据,done,
53,caiso_load_forecast_15_min,Load forecast in CAISO in 15-minute intervals.,CAISO（加州独立系统运营商）的15分钟间隔负荷预测数据。,done,
54,caiso_load_forecast_2_day,"Hourly load forecast data for each hour of an operating day in CAISO, published two days prior to the operating day.",CAISO（加州独立系统运营商）运行日各小时的小时级负荷预测数据，于运行日前两天发布。,done,
55,caiso_load_forecast_5_min,5-minute load forecast data from the Very Short Term Load Forecast (VSTLF) used by CAISO in Real-Time Dispatch (RTD).,CAISO（加州独立系统运营商）在实时调度（RTD）中使用的超短期负荷预测（VSTLF）所提供的5分钟负荷预测数据。,done,
56,caiso_load_forecast_7_day,"Hourly load forecast data for each hour of an operating day in CAISO, published seven days prior to the operating day.",CAISO（加州独立系统运营商）运行日各小时的小时级负荷预测数据，于运行日前七天发布。,done,
57,caiso_load_forecast_dam,"⚠️ This dataset is deprecated in favor of [CAISO Load Forecast Day Ahead](https://www.gridstatus.io/datasets/caiso_load_forecast_day_ahead). It is the same dataset from the same source, but includes all ""TAC Area Names"" rather than only the system area like this dataset. It also includes a slightly more accurate publish time.

---
Load Forecast in 1 hour intervals as reported by CAISO.

","⚠️ 该数据集已废弃，请使用 CAISO日前负荷预测数据集。
该数据集与当前数据集来源相同，但其包含所有“TAC区域名称”，而当前数据集仅包含系统区域。此外，新数据集的发布时间也更为精确。

---
CAISO（加州独立系统运营商）报告的1小时间隔负荷预测数据。",done,
58,caiso_load_forecast_day_ahead,"Hourly load forecast data for each hour of the following day, which is the operating day. This load forecast is posted prior to CAISO running the day-ahead market for the operating day.",运行日（即次日）各小时的小时级负荷预测数据。该负荷预测在CAISO（加州独立系统运营商）针对运行日运行日前市场之前发布。,done,
59,caiso_load_hourly,"Actual hourly load reported by CAISO. Unlike [`caiso_load`](/datasets/caiso_load), the reported load includes load from charging storage.",CAISO（加州独立系统运营商）报告的实际小时负荷。与 caiso_load 数据集不同，此处报告的负荷包含储能充电产生的负荷。,done,
60,caiso_net_interchange_real_time,"Five-minute, real-time interchange in the West via CAISO data presented as a summarized view of flows between balacing authorities to enable easier BA-level analysis.

This view sums the MW values for each 5 minute interval for each unique pairing of from and to. This view does not contain individual ties. For tie-level data, refer to [caiso_tie_flows_real_time_5_min](https://www.gridstatus.io/datasets/caiso_tie_flows_real_time_5_min).","通过CAISO（加州独立系统运营商）数据呈现的西部五分钟实时电量交换，以平衡区域之间潮流的汇总视图形式提供，便于进行区域级（BA级）分析。

该视图汇总了每个五分钟间隔内，每个“送出-接收”唯一配对下的兆瓦值，不包含单个联络线的数据。如需联络线级数据，请参阅 caiso_tie_flows_real_time_5_min。",done,
61,caiso_outages_aggregated_hourly,"CAISO Outages Aggregated by forced and planned on an hourly basis. For generator level data including the reason, see the caiso_curtailed_non_operational_generator dataset.",CAISO（加州独立系统运营商）按强制停运和计划停运聚合的小时级停运数据。如需包含停运原因的机组级数据，请参阅caiso_curtailed_non_operational_generator数据集。,done,
62,caiso_records,Top 10 daily records for various metrics in CAISO,CAISO（加州独立系统运营商）内各项指标的每日前十名记录,done,
63,caiso_records_timeseries,Timeline of new records for CAISO,CAISO（加州独立系统运营商）新记录的时间线,done,
64,caiso_renewables_forecast_dam,"Day-ahead solar and wind forecasts by trading hub as reported by CAISO.

Includes data for solar and wind in CAISO, ZP26, SP15, and NP15.","CAISO（加州独立系统运营商）报告的按交易枢纽划分的日前太阳能和风电预测。

包含CAISO、ZP26、SP15和NP15区域的太阳能和风电数据。",done,
65,caiso_renewables_forecast_hasp,"The Hour-Ahead Scheduling Process (HASP) renewables forecast published by CAISO. This is an hourly forecast published roughly 90 minutes before the forecasted interval.

Includes data for solar and wind in ZP26, SP15, and NP15.","CAISO（加州独立系统运营商）发布的小时前调度流程（HASP）可再生能源预测。这是一个小时级预测，大约在预测时段开始前90分钟发布。

包含ZP26、SP15和NP15区域的太阳能和风电数据。",done,
66,caiso_renewables_forecast_rtd,"The five-minute Real-Time Dispatch (RTD) renewables forecast published by CAISO. Forecast data is published roughly 2.5 minutes before the forecasted interval.

Includes data for solar and wind in ZP26, SP15, and NP15.","CAISO（加州独立系统运营商）发布的五分钟实时调度（RTD）可再生能源预测。预测数据大约在预测时段开始前2.5分钟发布。

包含ZP26、SP15和NP15区域的太阳能和风电数据。",done,
67,caiso_renewables_forecast_rtpd,The FMM RTPD renewables forecast published by the market operator. Forecast data is published roughly 22.5 minutes before the forecasted interval.,由市场运营机构发布的FMM RTPD（15分钟实时预调度）可再生能源预测。预测数据大约在预测时段开始前22.5分钟发布。,done,
68,caiso_renewables_hourly,"Actual hourly generation from wind and solar in CAISO. 

Includes data for all of CAISO as well as ZP26, SP15, and NP15.","CAISO（加州独立系统运营商）内风电和太阳能的实际小时发电量。

包含整个CAISO区域以及ZP26、SP15和NP15区域的数据。",done,
69,caiso_seven_day_resource_adequacy_outlook,"Seven-day resource adequacy outlook in CAISO. Includes demand forecasts as well as RA (resource adequacy) forecasts and credits, along with reserve requirements.",CAISO（加州独立系统运营商）的七天资源充裕度展望。包含需求预测、RA（资源充裕度）预测和信用额度，以及备用要求。,done,
70,caiso_solar_and_wind_forecast_dam,Day-ahead solar and wind forecasts by trading hub as reported by CAISO.,CAISO（加州独立系统运营商）报告的按交易枢纽划分的日前太阳能和风电预测。,done,
71,caiso_standardized_5_min,"This table is a curated set of five-minute data for CAISO. All standardized datasets are intended to speed up analysis and feature engineering work by providing commonly used data series in one denormalized table. 

The standardized datasets are a convenience for API users who only want to query one dataset for each ISO. If you plan on loading in every dataset or want to work with multiple series alone or together it is recommended to pull the individual datasets to have full visibility into each one.

⚠️ Not all data series are present for the entire length of the dataset. This can occur due to a lack of historical data or the publication of new core datasets by an ISO.","此表格是CAISO（加州独立系统运营商）经过精选的五分钟数据集合。所有标准化数据集旨在通过在一个非规范化表中提供常用的数据系列，来加速分析和特征工程工作。

标准化数据集是为API用户提供的便利，方便他们只需查询每个ISO的一个数据集即可。如果您计划加载所有数据集，或希望单独或组合使用多个数据系列，建议拉取各个独立的数据集，以便完全了解每个数据集的详情。

⚠️ 并非所有数据系列在整个数据集的时间范围内都存在。这可能是由于历史数据缺失或ISO发布了新的核心数据集所致。",done,
72,caiso_standardized_hourly,"This table is a curated set of hourly data for CAISO. All standardized datasets are intended to speed up analysis and feature engineering work by providing commonly used data series in one denormalized table. Data in this feed is resampled to an hourly frequency from five minutes.

The standardized datasets are a convenience for API users who only want to query one dataset for each ISO. If you plan on loading in every dataset or want to work with multiple series alone or together it is recommended to pull the individual datasets to have full visibility into each one.

⚠️ Not all data series are present for the entire length of the dataset. This can occur due to a lack of historical data or the publication of new core datasets by an ISO.","此表格是CAISO（加州独立系统运营商）经过精选的小时级数据集合。所有标准化数据集旨在通过在一个非规范化表中提供常用的数据系列，来加速分析和特征工程工作。此数据源中的数据是从五分钟频率重采样为小时频率。

标准化数据集是为API用户提供的便利，方便他们只需查询每个ISO的一个数据集即可。如果您计划加载所有数据集，或希望单独或组合使用多个数据系列，建议拉取各个独立的数据集，以便完全了解每个数据集的详情。

⚠️ 并非所有数据系列在整个数据集的时间范围内都存在。这可能是由于历史数据缺失或ISO发布了新的核心数据集所致。",done,
73,caiso_storage,Data on storage and hybrid resources as reported by CAISO.,CAISO（加州独立系统运营商）报告的储能和混合资源数据。,done,
